三頭巨犬毛毛的弱點是什麼;聽到音樂就會入睡
哈利和榮恩駕駛的福特飛天汽車最後撞到了什麼;渾拚柳
佛地魔的哪個分靈體被藏在古靈閣雷斯壯倉庫;海加赫夫帕夫的金杯
下列哪種魔法界出版物中談及過雙角獸;《謬論家》
三巫鬥法大賽中使用的龍不包括下列哪一種;挪威脊背龍
歷史上湯姆瑞斗誣衊誰打開了密室;魯霸海格
歷史上湯姆瑞斗誣蟻誰打開了密室;魯霸海格
歷史上湯姆瑞斗誣嶙誰打開了密室;魯霸海格
密室最初的用途是什麼;教授黑魔法
下列哪種生物要主動要求被視為野獸？;人馬
雷文克勞的冠冕曾被海蓮娜·雷文克勞藏在哪裡？;阿爾巴妮亞森林
什麼遊戲與麻瓜的彈子遊戲（打彈珠）類似？;高布石遊戲
史拉轟教授最喜歡的食物是什麼？;鳳梨蜜餞
失敗的消影術可能會導致什麼？;分體
石內卜告訴哈利什麼藥材能解毒?;毛糞石
石內卜告訴哈利波特什麼藥材可以解毒;糞石
你能在哪條街上找到波金與伯克氏商店？;夜行巷
你會在哪條街上找到黑魔法商店博金博克;夜行巷
哈利·波特三年級時，為什麼沒能和其他同學一起去活米村？;他的姨丈沒有簽同意書
哈利·波特三年級時，為什麼沒能和其他同學一起去霍格莫德？;他的姨父沒有簽同意書
哈利·波特把什麼遺落在禁忌森林？;重生石
哈利·波特把哪件聖器遺棄在了禁忌森林？;重生石
哈利·波特第一次使用呼嚕粉時誤入了哪裡？;博金·博克古董商店
哈利·波特第一次使用飛路粉（呼嚕粉）時誤入了哪裡?;波金與伯克氏古董商店
哪個不是佛地魔的分靈體?;接骨木魔杖
從哪裡可以搭乘霍格華茲特快車去往霍格華茲?;王十字車站，9 3/4月臺。
傳聞中，妙麗曾用什麼來形容榮恩的感情?;一茶匙
奧利凡德不曾用過哪種材料製作魔杖？;迷拉的頭髮
奧利凡德不曾使用下列哪種杖芯;媚娃的頭髮
誰用假掛墜替換了岩洞中的真掛墜？;獅子阿爾發·布萊克
誰的辦公室曾經使用過檸檬雪寶這個密語？;鄧不利多教授
誰是默然者;魁登斯巴波
誰是默然者？;克萊登斯·巴瑞波恩
xx是誰的？(題目沒截到);卡多甘爵士
《千種神奇藥草及蕈類》的作者是誰？;費麗·斯波兒
《初級變形指南》的作者是？;愛莫瑞·思為奇 
《阿不思·鄧不利多的生平與謊言》是誰的代表作？;麗塔·史譏
《為消遣和盈利而飼養火龍》中建議用什麼餵養新出生的龍？;白蘭地混雞血
《黑魔法：自衛指南》的作者是誰？;昆丁·特林堡
《預言家日報》上鄧不利多的訃告是誰寫的?;艾飛·道奇
《預言家日報》的記者麗塔·史譏能變成什麼？;甲蟲
《霍格華茲，一段歷史》的作者是？;芭蒂達·巴沙特
「甘普基本變形法則」一共有幾條例外法則?;5條
